Reading pref.tcl

# 2021.3_1

# do run.do
# ** Error (suppressible): (vdel-19) Failed to access library 'work' at "work".
# No such file or directory. (errno = ENOENT)
# ** Warning: (vdel-57) Library 'work' is missing or is not a valid QuestaSim library.
# 1
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:25:27 on May 23,2026
# vlog -source -lint memoryzero.sv 
# -- Compiling module Memory64x8
# -- Compiling module Register
# -- Compiling module UpCounter
# -- Compiling module Mux2x1
# -- Compiling module JKFF
# -- Compiling module Comparator
# -- Compiling module DataPath
# -- Compiling module MemoryZeroController
# -- Compiling module mz
# 
# Top level modules:
# 	mz
# End time: 17:25:28 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:25:28 on May 23,2026
# vlog -source -lint fsmtb.sv 
# -- Compiling module top
# 
# Top level modules:
# 	top
# End time: 17:25:28 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:25:28 on May 23,2026
# vopt top -o top_optimized "+acc" "+cover=sbfec+mz(rtl)." 
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Loading module mz
# -- Loading module DataPath
# -- Loading module Register
# -- Loading module UpCounter
# -- Loading module JKFF
# -- Loading module Mux2x1
# -- Loading module Comparator
# -- Loading module Memory64x8
# -- Loading module MemoryZeroController
# Optimizing 10 design-units (inlining 0/12 module instances):
# -- Optimizing module top(fast)
# -- Optimizing module DataPath(fast)
# -- Optimizing module MemoryZeroController(fast)
# ** Note: (vopt-143) Recognized 1 FSM in module "MemoryZeroController(fast)".
# -- Optimizing module mz(fast)
# -- Optimizing module Memory64x8(fast)
# -- Optimizing module UpCounter(fast)
# -- Optimizing module Register(fast)
# -- Optimizing module JKFF(fast)
# -- Optimizing module Mux2x1(fast)
# -- Optimizing module Comparator(fast)
# Optimized design name is top_optimized
# End time: 17:25:29 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 17:25:29 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.top(fast)
# Loading work.mz(fast)
# Loading work.DataPath(fast)
# Loading work.Register(fast)
# Loading work.UpCounter(fast)
# Loading work.JKFF(fast)
# Loading work.Mux2x1(fast)
# Loading work.Comparator(fast)
# Loading work.Memory64x8(fast)
# Loading work.MemoryZeroController(fast)
# 1
# Test Case 1 Passed
# Test Case 2 Passed
# Test Case 3 Failed: Memory zero error at address 55
# Test Case 4 Failed: Write operation should not occur during zeroing
# Test Case 5 Passed
# Test Case 6 Failed: Busy flag not set during zeroing
# Test Case 6 Passed
# Test Case 7 Passed
# Failed testbench (3 test case error(s))
# ** Note: $finish    : fsmtb.sv(234)
#    Time: 955 ns  Iteration: 1  Instance: /top
# 1
# Break in Module top at fsmtb.sv line 234
# Stopped at fsmtb.sv line 234
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 17:25:30 on May 23,2026
# vcover report mz.ucdb 
# Coverage Report Summary Data by instance
# 
# =================================================================================
# === Instance: /top/DUT/DP/R1
# === Design Unit: work.Register
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
#     Statements                       2         2         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/DP/R2
# === Design Unit: work.Register
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
#     Statements                       2         2         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/DP/UC
# === Design Unit: work.UpCounter
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         3         3         0   100.00%
#     Statements                       4         4         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/DP/BusyFF
# === Design Unit: work.JKFF
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         4         3         1    75.00%
#     Conditions                       6         2         4    33.33%
#     Statements                       5         4         1    80.00%
# 
# =================================================================================
# === Instance: /top/DUT/DP/AddrMux
# === Design Unit: work.Mux2x1
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
#     Statements                       1         1         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/DP/DataMux
# === Design Unit: work.Mux2x1
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
#     Statements                       1         1         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/DP/C
# === Design Unit: work.Comparator
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Expressions                      1         1         0   100.00%
#     Statements                       1         1         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/DP/Mem
# === Design Unit: work.Memory64x8
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
#     Statements                       3         3         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/DP
