Reading pref.tcl

# 2021.3_1

# do run_mealy.do
# ** Error (suppressible): (vdel-19) Failed to access library 'work' at "work".
# No such file or directory. (errno = ENOENT)
# ** Warning: (vdel-57) Library 'work' is missing or is not a valid QuestaSim library.
# 1
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:56:09 on May 23,2026
# vlog -source -lint FFO32.sv 
# -- Compiling module FFO32
# -- Compiling module LZD2
# -- Compiling module LZDn
# 
# Top level modules:
# 	FFO32
# End time: 16:56:09 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:56:09 on May 23,2026
# vlog -source -lint FFO32sMealy.sv 
# -- Compiling module FFO32sMealy
# 
# Top level modules:
# 	FFO32sMealy
# End time: 16:56:09 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:56:09 on May 23,2026
# vlog -source -lint FFO32sMealytb.sv 
# -- Compiling module top
# -- Compiling module FFO32
# -- Compiling module LZD2
# -- Compiling module LZDn
# 
# Top level modules:
# 	top
# End time: 16:56:10 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:56:10 on May 23,2026
# vopt top -o top_optimized "+acc" "+cover=sbfec+FFO32sMealy(rtl)." 
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Loading module FFO32sMealy
# -- Loading module FFO32
# -- Loading module LZDn
# -- Loading module LZD2
# Optimizing 8 design-units (inlining 0/34 module instances):
# -- Optimizing module FFO32(fast)
# -- Optimizing module top(fast)
# -- Optimizing module FFO32sMealy(fast)
# ** Note: (vopt-143) Recognized 1 FSM in module "FFO32sMealy(fast)".
# -- Optimizing module LZDn(fast)
# -- Optimizing module LZDn(fast__1)
# -- Optimizing module LZDn(fast__2)
# -- Optimizing module LZDn(fast__3)
# -- Optimizing module LZD2(fast)
# Optimized design name is top_optimized
# End time: 16:56:11 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 16:56:11 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.top(fast)
# Loading work.FFO32sMealy(fast)
# Loading work.FFO32(fast)
# Loading work.LZD2(fast)
# Loading work.LZDn(fast)
# Loading work.LZDn(fast__1)
# Loading work.LZDn(fast__2)
# Loading work.LZDn(fast__3)
# 1
# No errors -- passed testbench
# ** Note: $finish    : FFO32sMealytb.sv(98)
#    Time: 61650 ns  Iteration: 1  Instance: /top
# 1
# Break in Module top at FFO32sMealytb.sv line 98
# Stopped at FFO32sMealytb.sv line 98
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 16:56:11 on May 23,2026
# vcover report FFO32sMealy.ucdb 
# Coverage Report Summary Data by instance
# 
# =================================================================================
# === Instance: /top/DUT
# === Design Unit: work.FFO32sMealy
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                        15        15         0   100.00%
#     Conditions                       2         2         0   100.00%
#     FSM States                       2         2         0   100.00%
#     FSM Transitions                  2         2         0   100.00%
#     Statements                      20        20         0   100.00%
# 
# 
# Total Coverage By Instance (filtered view): 100.00%
# 
# End time: 16:56:12 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 16:56:12 on May 23,2026
# vcover report FFO32sMealy.ucdb -cvg -details 
# ** Note: (vcover-17388) No matching coverage data found in file 'FFO32sMealy.ucdb'.
# End time: 16:56:12 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
#  quit -f
# End time: 16:56:12 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
